#Firmware: Speeduino 2019.03
PriLevel,SecLevel,Trigger,Sync,RefTime,MaxTime,ToothTime,Time
Flag,Flag,Flag,Flag,ms,ms,ms,ms
0.0,0.0,0.0,1.0,361.98,528.32,3.736,361.98
1.0,0.0,0.0,1.0,367.348,528.32,5.368,367.348
0.0,0.0,0.0,1.0,370.988,528.32,3.64,370.988
1.0,0.0,0.0,1.0,376.184,528.32,5.196,376.184
0.0,0.0,0.0,1.0,379.828,528.32,3.644,379.828
1.0,0.0,0.0,1.0,385.096,528.32,5.268,385.096
0.0,0.0,0.0,1.0,388.812,528.32,3.716,388.812
1.0,0.0,0.0,1.0,394.388,528.32,5.576,394.388
0.0,0.0,0.0,1.0,398.268,528.32,3.88,398.268
1.0,0.0,0.0,1.0,404.384,528.32,6.116,404.384
0.0,0.0,0.0,1.0,408.512,528.32,4.128,408.512
1.0,0.0,0.0,1.0,415.464,528.32,6.952,415.464
0.0,0.0,0.0,1.0,419.968,528.32,4.504,419.968
1.0,0.0,0.0,1.0,428.448,528.32,8.48,428.448
0.0,0.0,0.0,1.0,433.36,528.32,4.912,433.36
1.0,0.0,0.0,1.0,443.064,528.32,9.704,443.064
0.0,0.0,0.0,1.0,450.292,528.32,7.228,450.292
1.0,0.0,0.0,1.0,483.804,528.32,33.512,483.804
0.0,0.0,0.0,1.0,492.192,528.32,8.388,492.192
1.0,0.0,0.0,1.0,528.32,528.32,36.128,528.32
MARK 003
