//------------------------------------------------------------------------------
//--  Generated by TunerStudio 
//--  Date: 11-12-2018
//--  Time: 12:34
//--  This file merely records what was sent to your Controller,        
//--  and may be deleted at any time.                                                    
//--  Selected type: Air Temperature Sensor 
//------------------------------------------------------------------------------

//-- generated using refTable Generator:thermGenerator
//-- Table Identifier:001//--    Generated by ThermTableGenerator using user input values. 
//--    Bias Resistor value: 2490.0 Ohms
//--    Temperature1: 0.0(C), 	Resistance 1: 5800.0 Ohms 
//--    Temperature2: 80.0(C), 	Resistance 2: 320.0 Ohms 
//--    Temperature3: 100.0(C), 	Resistance 3: 180.0 Ohms 
//-- 

//----------------------------------------------------------//
ADC 	Value 	MSVal 	volts
661	42.22	422 	3.228
662	42.04	420 	3.232
663	41.86	419 	3.237
664	41.67	417 	3.242
665	41.49	415 	3.247
666	41.31	413 	3.252
667	41.13	411 	3.257
668	40.94	409 	3.262
669	40.76	408 	3.267
670	40.58	406 	3.271
671	40.39	404 	3.276
672	40.21	402 	3.281
673	40.03	400 	3.286
674	39.84	398 	3.291
675	39.66	397 	3.296
676	39.47	395 	3.301
677	39.29	393 	3.306
678	39.11	391 	3.311
679	38.92	389 	3.315
680	38.74	387 	3.320
681	38.55	386 	3.325
682	38.37	384 	3.330
683	38.18	382 	3.335
684	38.00	380 	3.340
685	37.81	378 	3.345
686	37.62	376 	3.350
687	37.44	374 	3.354
688	37.25	373 	3.359
689	37.06	371 	3.364
690	36.88	369 	3.369
691	36.69	367 	3.374
692	36.50	365 	3.379
693	36.32	363 	3.384
694	36.13	361 	3.389
695	35.94	359 	3.394
696	35.75	358 	3.398
697	35.57	356 	3.403
698	35.38	354 	3.408
699	35.19	352 	3.413
700	35.00	350 	3.418
701	34.81	348 	3.423
702	34.62	346 	3.428
703	34.43	344 	3.433
704	34.24	342 	3.438
705	34.05	341 	3.442
706	33.86	339 	3.447
707	33.67	337 	3.452
708	33.48	335 	3.457
709	33.29	333 	3.462
710	33.10	331 	3.467
711	32.91	329 	3.472
712	32.72	327 	3.477
713	32.52	325 	3.481
714	32.33	323 	3.486
715	32.14	321 	3.491
716	31.95	319 	3.496
717	31.76	318 	3.501
718	31.56	316 	3.506
719	31.37	314 	3.511
720	31.18	312 	3.516
721	30.98	310 	3.521
722	30.79	308 	3.525
723	30.59	306 	3.530
724	30.40	304 	3.535
725	30.20	302 	3.540
726	30.01	300 	3.545
727	29.81	298 	3.550
728	29.62	296 	3.555
729	29.42	294 	3.560
730	29.22	292 	3.564
731	29.03	290 	3.569
732	28.83	288 	3.574
733	28.63	286 	3.579
734	28.44	284 	3.584
735	28.24	282 	3.589
736	28.04	280 	3.594
737	27.84	278 	3.599
738	27.64	276 	3.604
739	27.44	274 	3.608
740	27.24	272 	3.613
741	27.04	270 	3.618
742	26.84	268 	3.623
743	26.64	266 	3.628
744	26.44	264 	3.633
745	26.24	262 	3.638
746	26.04	260 	3.643
747	25.84	258 	3.647
748	25.64	256 	3.652
749	25.43	254 	3.657
750	25.23	252 	3.662
751	25.03	250 	3.667
752	24.82	248 	3.672
753	24.62	246 	3.677
754	24.41	244 	3.682
755	24.21	242 	3.687
756	24.01	240 	3.691
757	23.80	238 	3.696
758	23.59	236 	3.701
759	23.39	234 	3.706
760	23.18	232 	3.711
761	22.97	230 	3.716
762	22.77	228 	3.721
763	22.56	226 	3.726
764	22.35	224 	3.730
765	22.14	221 	3.735
766	21.93	219 	3.740
767	21.72	217 	3.745
768	21.51	215 	3.750
769	21.30	213 	3.755
770	21.09	211 	3.760
771	20.88	209 	3.765
772	20.67	207 	3.770
773	20.46	205 	3.774
774	20.24	202 	3.779
775	20.03	200 	3.784
776	19.82	198 	3.789
777	19.60	196 	3.794
778	19.39	194 	3.799
779	19.17	192 	3.804
780	18.96	190 	3.809
781	18.74	187 	3.813
782	18.53	185 	3.818
783	18.31	183 	3.823
784	18.09	181 	3.828
785	17.87	179 	3.833
786	17.66	177 	3.838
787	17.44	174 	3.843
788	17.22	172 	3.848
789	17.00	170 	3.853
790	16.78	168 	3.857
791	16.56	166 	3.862
792	16.34	163 	3.867
793	16.11	161 	3.872
794	15.89	159 	3.877
795	15.67	157 	3.882
796	15.44	154 	3.887
797	15.22	152 	3.892
798	14.99	150 	3.896
799	14.77	148 	3.901
800	14.54	145 	3.906
801	14.32	143 	3.911
802	14.09	141 	3.916
803	13.86	139 	3.921
804	13.63	136 	3.926
805	13.40	134 	3.931
806	13.17	132 	3.936
807	12.94	129 	3.940
808	12.71	127 	3.945
809	12.48	125 	3.950
810	12.25	122 	3.955
811	12.02	120 	3.960
812	11.78	118 	3.965
813	11.55	115 	3.970
814	11.31	113 	3.975
815	11.08	111 	3.979
816	10.84	108 	3.984
817	10.61	106 	3.989
818	10.37	104 	3.994
819	10.13	101 	3.999
820	9.89	99 	4.004
821	9.65	97 	4.009
822	9.41	94 	4.014
823	9.17	92 	4.019
824	8.93	89 	4.023
825	8.68	87 	4.028
826	8.44	84 	4.033
827	8.20	82 	4.038
828	7.95	80 	4.043
829	7.71	77 	4.048
830	7.46	75 	4.053
831	7.21	72 	4.058
832	6.96	70 	4.063
833	6.71	67 	4.067
834	6.46	65 	4.072
835	6.21	62 	4.077
836	5.96	60 	4.082
837	5.71	57 	4.087
838	5.46	55 	4.092
839	5.20	52 	4.097
840	4.95	49 	4.102
841	4.69	47 	4.106
842	4.43	44 	4.111
843	4.17	42 	4.116
844	3.92	39 	4.121
845	3.66	37 	4.126
846	3.39	34 	4.131
847	3.13	31 	4.136
848	2.87	29 	4.141
849	2.61	26 	4.146
850	2.34	23 	4.150
851	2.08	21 	4.155
852	1.81	18 	4.160
853	1.54	15 	4.165
854	1.27	13 	4.170
855	1.00	10 	4.175
856	0.73	7 	4.180
857	0.46	5 	4.185
858	0.18	2 	4.189
859	-0.09	-1 	4.194
860	-0.37	-4 	4.199
861	-0.64	-6 	4.204
862	-0.92	-9 	4.209
863	-1.20	-12 	4.214
864	-1.48	-15 	4.219
865	-1.76	-18 	4.224
866	-2.04	-20 	4.229
867	-2.33	-23 	4.233
868	-2.61	-26 	4.238
869	-2.90	-29 	4.243
870	-3.19	-32 	4.248
871	-3.48	-35 	4.253
872	-3.77	-38 	4.258
873	-4.06	-41 	4.263
874	-4.35	-44 	4.268
875	-4.65	-46 	4.272
876	-4.94	-49 	4.277
877	-5.24	-52 	4.282
878	-5.54	-55 	4.287
879	-5.84	-58 	4.292
880	-6.14	-61 	4.297
881	-6.45	-64 	4.302
882	-6.75	-68 	4.307
883	-7.06	-71 	4.312
884	-7.37	-74 	4.316
885	-7.68	-77 	4.321
886	-7.99	-80 	4.326
887	-8.30	-83 	4.331
888	-8.62	-86 	4.336
889	-8.93	-89 	4.341
890	-9.25	-93 	4.346
891	-9.57	-96 	4.351
892	-9.89	-99 	4.355
893	-10.22	-102 	4.360
894	-10.54	-105 	4.365
895	-10.87	-109 	4.370
896	-11.20	-112 	4.375
897	-11.53	-115 	4.380
898	-11.86	-119 	4.385
899	-12.20	-122 	4.390
900	-12.53	-125 	4.395
901	-12.87	-129 	4.399
902	-13.21	-132 	4.404
903	-13.56	-136 	4.409
904	-13.90	-139 	4.414
905	-14.25	-142 	4.419
906	-14.60	-146 	4.424
907	-14.95	-149 	4.429
